key,english,kiswahili_for_reference,Kiembu_draft,Kiembu_corrected,ok_as_is
storeIntelliStoresLoadsFromTheIntelli,Intelli-Stores loads from the Intelli-Cash backend. Connect or sign in first.,Intelli-Stores hupakiwa kutoka seva ya Intelli-Cash. Unganisha au ingia kwanza.,Intelli-Stores irutagwo cheba-ini ya Intelli-Cash. Ohania kana utoonye mbere.,,
businessProfileTheGroupSOwnEnterpriseNot,"The group\'s own enterprise, not a member\'s. Leave blank if they do not run one.","Biashara ya kikundi chenyewe, si ya mwanachama. Acha wazi kama hawana.","Wonjoria wa gikundi kiene, ti wa mumemba. Tiga hatari kindu mangikoruo matari naguo.",,
businessProfileThisVisitHasNotSyncedYet,"This visit has not synced yet, so the figures are saved against the group but not against this visit.","Ziara hii bado haijasawazishwa, kwa hivyo takwimu zimehifadhiwa kwa kikundi lakini si kwa ziara hii.","Rugendo ruru rutiri rwaiganania, ni undu ucio namba ciigitwo hari gikundi no ti hari rugendo ruru.",,
businessProfileSavedAgainstThisVisitSoNext,"Saved against this visit, so next time you can see what changed.","Imehifadhiwa kwa ziara hii, ili wakati ujao uone kilichobadilika.","Ni ciigitwo hari rugendo ruru, niguo hindi ingi wone kiria kiagarurukire.",,
recordVisitAVisitCanStillBeRecorded,"A visit can still be recorded without a location. Whether it matches this group is decided by the office, not here.","Ziara bado inaweza kurekodiwa bila mahali. Kama inalingana na kikundi hiki huamuliwa na ofisi, si hapa.","Rugendo no rungiandikwo o na hatari handu. Kana niruringaine na gikundi giki gutuagwo ni ofisi, ti haha.",,
recordVisitRecordWhatYouCoachedOnThen,"Record what you coached on, then let the group score it.","Rekodi ulichofundisha, kisha waache kikundi kikipime.","Andika kiria warutire, ucooke ureke gikundi gigithime.",,
visitAssessmentNoAssessmentFormHasBeenDownloaded,"No assessment form has been downloaded yet. Connect once to fetch it, then it works offline.","Hakuna fomu ya tathmini iliyopakuliwa bado. Unganisha mara moja ili kuipata, kisha itafanya kazi bila mtandao.","Gutiri fomu ya githimi irutitwo. Ohania riita rimwe niguo umirute, icooke irute wira hatari mutandao.",,
visitMentorshipNotScoredYetAVisitCan,"Not scored yet. A visit can be recorded without it, but the group\'s view is the only useful measure of the coaching.","Bado haijapimwa. Ziara inaweza kurekodiwa bila hii, lakini maoni ya kikundi ndiyo kipimo pekee muhimu cha ushauri.","Rutiri rwathimwo. Rugendo no rungiandikwo hatari uguo, no mawoni ma gikundi nimo githimi kiria kiri bata kia utaari.",,
createPollNoMembersLoadedForThisGroup,No members loaded for this group yet. Connect and open the group first.,Hakuna wanachama waliopakiwa kwa kikundi hiki bado. Unganisha na ufungue kikundi kwanza.,Gutiri amemba marutitwo gikundi giki. Ohania na uhingure gikundi mbere.,,
createPollNobodySeesWhoVotedForWhat,Nobody sees who voted for what. The counts are still shown to everyone.,Hakuna anayeona nani alipiga kura kwa nini. Idadi bado huonyeshwa kwa kila mtu.,Gutiri mundu ukuona nuu watuire kuri u. Namba nicionagio andu othe.,,
pollDetailNoMoreVotesCanBeCast,"No more votes can be cast after this, and the result is written into the group records. This cannot be undone.","Hakuna kura zaidi zitakazopigwa baada ya hii, na matokeo huandikwa kwenye rekodi za kikundi. Hili haliwezi kutenguliwa.","Gutiri itua ringi rigutuo thutha wa uyu, na macookio mandikagwo maandiko-ini ma gikundi. Undu uyu ndungicookererio.",,
pollDetailClosingCountsTheVotesAndWrites,Closing counts the votes and writes the result into the group records.,Kufunga huhesabu kura na kuandika matokeo kwenye rekodi za kikundi.,Kuhinga gutaraga itua na gukandika macookio maandiko-ini ma gikundi.,,
pollDetailYouHaveVotedThisIsA,"You have voted. This is a secret ballot, so your choice is not shown to anyone.","Umepiga kura. Hii ni kura ya siri, kwa hivyo chaguo lako halionyeshwi kwa mtu yeyote.","Niwatua. Riri ni itua ria hitho, ni undu ucio uthuuri waku ndwionagio mundu o na uriku.",,
pollsElectYourLeadersAndDecideTogether,"Elect your leaders and decide together. One member, one vote.","Chagua viongozi wenu na muamue pamoja. Mwanachama mmoja, kura moja.","Thuurai atongoria anyu na mutue hamwe. Mumemba umwe, itua rimwe.",,
pollsTapNewVoteToElectA,Tap New Vote to elect a leader or put a question to the group.,Gusa Kura Mpya ili kuchagua kiongozi au kuuliza kikundi swali.,Hutia Itua Rieru niguo uthuure mutongoria kana uurie gikundi kiuria.,,
pollsVotingIsKeptOnTheIntelli,Voting is kept on the Intelli-Cash backend so every member sees the same tally. Connect or sign in first.,Kura huhifadhiwa kwenye seva ya Intelli-Cash ili kila mwanachama aone idadi ile ile. Unganisha au ingia kwanza.,Itua ciigagwo cheba-ini ya Intelli-Cash niguo o mumemba one namba o iyo. Ohania kana utoonye mbere.,,
unlockOpensWhen,The meeting opens when {officials} officials — or {members} members — each turn their key.,Mkutano hufunguliwa viongozi {officials} — au wanachama {members} — wanapotumia funguo zao.,Mucemanio uhinguragwo riria atongoria {officials} — kana amemba {members} — mahuthira cabi ciao.,,
paymentProvidersStillNeeded,Not finished — still needed: {fields}. Until then money still goes to the platform account.,Haijakamilika — bado inahitajika: {fields}. Hadi hapo fedha bado huenda kwenye akaunti ya jukwaa.,Gutiri kwarikia — no kubataraga: {fields}. Nginya hindi iyo mbeca ithiaga akaunti-ini ya kioneki.,,
welfareSharedOutExplainer,This is what gets shared out at the end of the cycle — not the total contributed. {paidOut} has been paid out so far.,Hiki ndicho kitakachogawanywa mwisho wa mzunguko — si jumla iliyochangwa. {paidOut} imelipwa hadi sasa.,Ino niyo ikugayanwo muthia wa muthiururuko — ti mbeca ciothe iria ciarutirwo. {paidOut} nicirihitwo nginya riu.,,
shareOutStartsNextCycle,"This records every payout, settles outstanding loans, and starts Cycle {cycle}. It cannot be undone.","Hii hurekodi kila malipo, humaliza mikopo iliyobaki, na huanzisha Mzunguko {cycle}. Haiwezi kutenguliwa.","Undu uyu niwandikaga o irihi, ukarihia mikopo iria itigarite, na ukambiriria Muthiururuko {cycle}. Ndungicookererio.",,
visitAssessmentPhotoCapReached,This visit already has {max} photos.,Ziara hii tayari ina picha {max}.,Rugendo ruru niruri na mbica {max}.,,
languageDraftBadge,draft,rasimu,rasimu,,
