key,english,kiswahili_for_reference,Dholuo_draft,Dholuo_corrected,ok_as_is
visitMentorshipNotScoredYetAVisitCan,"Not scored yet. A visit can be recorded without it, but the group\'s view is the only useful measure of the coaching.","Bado haijapimwa. Ziara inaweza kurekodiwa bila hii, lakini maoni ya kikundi ndiyo kipimo pekee muhimu cha ushauri.","Pok opim. Limbe inyalo ndiki maonge ma, to paro mar riwruok ema en pim makende maber mar puonj.",,
createPollNoMembersLoadedForThisGroup,No members loaded for this group yet. Connect and open the group first.,Hakuna wanachama waliopakiwa kwa kikundi hiki bado. Unganisha na ufungue kikundi kwanza.,Onge jomembe moyudi ne riwruokni pod. Tud kendo iyaw riwruok mokwongo.,,
createPollNobodySeesWhoVotedForWhat,Nobody sees who voted for what. The counts are still shown to everyone.,Hakuna anayeona nani alipiga kura kwa nini. Idadi bado huonyeshwa kwa kila mtu.,Onge ngʼama neno ngʼat mane oyiero ngʼa. Kwan pod inyiso ji duto.,,
pollDetailNoMoreVotesCanBeCast,"No more votes can be cast after this, and the result is written into the group records. This cannot be undone.","Hakuna kura zaidi zitakazopigwa baada ya hii, na matokeo huandikwa kwenye rekodi za kikundi. Hili haliwezi kutenguliwa.","Onge yiero machielo manyalo timore bangʼ ma, kendo duoko indiko e ndiko mag riwruok. Ma ok nyal lokre.",,
pollDetailClosingCountsTheVotesAndWrites,Closing counts the votes and writes the result into the group records.,Kufunga huhesabu kura na kuandika matokeo kwenye rekodi za kikundi.,Loro kwano yiero kendo ndiko duoko e ndiko mag riwruok.,,
pollDetailYouHaveVotedThisIsA,"You have voted. This is a secret ballot, so your choice is not shown to anyone.","Umepiga kura. Hii ni kura ya siri, kwa hivyo chaguo lako halionyeshwi kwa mtu yeyote.","Iseyiero. Ma en yiero mopondo, omiyo yierni ok nyis ngʼato angʼata.",,
pollsElectYourLeadersAndDecideTogether,"Elect your leaders and decide together. One member, one vote.","Chagua viongozi wenu na muamue pamoja. Mwanachama mmoja, kura moja.","Yieruru jotendu kendo ungʼaduru kaachiel. Jamembe achiel, yiero achiel.",,
pollsTapNewVoteToElectA,Tap New Vote to elect a leader or put a question to the group.,Gusa Kura Mpya ili kuchagua kiongozi au kuuliza kikundi swali.,Mul Yiero Manyien mondo iyier jatelo kata iket penjo ne riwruok.,,
pollsVotingIsKeptOnTheIntelli,Voting is kept on the Intelli-Cash backend so every member sees the same tally. Connect or sign in first.,Kura huhifadhiwa kwenye seva ya Intelli-Cash ili kila mwanachama aone idadi ile ile. Unganisha au ingia kwanza.,Yiero ikano e seva mar Intelli-Cash mondo jamembe ka jamembe one kwan machalre. Tud kata idonji mokwongo.,,
unlockOpensWhen,The meeting opens when {officials} officials — or {members} members — each turn their key.,Mkutano hufunguliwa viongozi {officials} — au wanachama {members} — wanapotumia funguo zao.,Chokruok yawore ka jotelo {officials} — kata jomembe {members} — otiyo gi rayaw mag-gi.,,
paymentProvidersStillNeeded,Not finished — still needed: {fields}. Until then money still goes to the platform account.,Haijakamilika — bado inahitajika: {fields}. Hadi hapo fedha bado huenda kwenye akaunti ya jukwaa.,Pok orumo — pod dwarore: {fields}. Kapok mano pesa pod dhi e akaunt mar platform.,,
welfareSharedOutExplainer,This is what gets shared out at the end of the cycle — not the total contributed. {paidOut} has been paid out so far.,Hiki ndicho kitakachogawanywa mwisho wa mzunguko — si jumla iliyochangwa. {paidOut} imelipwa hadi sasa.,Ma e gima ipogo e giko mar ndalo — ok pesa duto mane ochiw. {paidOut} osechul nyaka sani.,,
shareOutStartsNextCycle,"This records every payout, settles outstanding loans, and starts Cycle {cycle}. It cannot be undone.","Hii hurekodi kila malipo, humaliza mikopo iliyobaki, na huanzisha Mzunguko {cycle}. Haiwezi kutenguliwa.","Ma ndiko chudo ka chudo, chulo hola modongʼ, kendo chako Ndalo {cycle}. Ok nyal lokre.",,
visitAssessmentPhotoCapReached,This visit already has {max} photos.,Ziara hii tayari ina picha {max}.,Limbeni osebedo gi pichni {max}.,,
languageDraftBadge,draft,rasimu,rasimu,,
