key,english,kiswahili_for_reference,Gikuyu_draft,Gikuyu_corrected,ok_as_is
groupPolicyAppliesToNewLoansLoansAlready,Applies to new loans. Loans already given keep the term they were agreed with — changing this never changes what a member already owes.,Hutumika kwa mikopo mipya. Mikopo iliyokwisha tolewa hubaki na muda iliokubaliwa — kubadilisha hili hakubadilishi deni la mwanachama.,Ũhũthĩkaga harĩ mĩkopo mĩerũ. Mĩkopo ĩrĩa ĩrĩkĩtie kũheanwo ĩtigagwo na ihinda rĩrĩa rĩetĩkanĩirio — kũgarũra ũndũ ũyũ gũtigarũraga thiirĩ ũrĩa mũmemba arĩ naguo.,,
groupPolicyFlatOnTheAmountBorrowedEach,"Flat on the amount borrowed each month — it does not fall as the member repays, and it stops at the end of the agreed term. Zero is fine: many groups lend interest-free. Each loan keeps the rate it was made at, so changing this never reprices money already lent.","Ni kiwango kimoja juu ya kiasi kilichokopwa kila mwezi — hakipungui mwanachama anapolipa, na huisha mwisho wa muda uliokubaliwa. Sifuri ni sawa: vikundi vingi hukopesha bila riba. Kila mkopo hubaki na riba uliotolewa nayo, kwa hivyo kubadilisha hili hakubadilishi fedha zilizokwisha kopeshwa.","Nĩ gĩthimi kĩmwe harĩ mbeca iria ciakombirwo o mweri — gĩtinyihanyiihaga mũmemba akĩrĩha, na gĩthiraga mũthia wa ihinda rĩrĩa rĩetĩkanĩirio. Naili nĩ wega: ikundi nyingĩ ikombithanagia hatarĩ ũcuuthi. O mũkopo ũtigagwo na ũcuuthi ũrĩa waheanirwo naguo, nĩ ũndũ ũcio kũgarũra ũndũ ũyũ gũtigarũraga mbeca iria ciarĩkĩtie gũkombithanio.",,
groupPolicyYouCanSeeTheseRulesBut,You can see these rules but not change them. Only the group account or a platform admin can.,Unaweza kuona sheria hizi lakini huwezi kuzibadilisha. Ni akaunti ya kikundi au msimamizi wa jukwaa pekee anayeweza.,No wone mawatho maya no ndũngĩhota kũmagarũra. Nĩ akaũnti ya gĩkundi kana mũrori wa kĩoneki tu ũngĩhota.,,
groupPolicyUnpaidFinesAndWelfareAreTaken,Unpaid fines and welfare are taken off a member\'s share-out payout — they never stop a member from sharing out.\n\nOutstanding loans are taken off at share-out and are never carried into the next cycle.,"Faini na michango ya jamii ambayo haijalipwa hukatwa kwenye mgao wa mwanachama — kamwe hazimzuii mwanachama kushiriki mgao.

Mikopo ambayo haijalipwa hukatwa wakati wa mgao na kamwe haipelekwi mzunguko unaofuata.","Faini na mbeca cia ũteithio iria itarĩhĩtwo iruthagio kuuma kĩgayo-inĩ kĩa mũmemba — itingĩgiria mũmemba kũgayana.

Mĩkopo ĩrĩa ĩtarĩhĩtwo ĩruthagio hĩndĩ ya kũgayana na ndĩtwaragwo mũthiũrũrũko-inĩ ũrĩa ũngĩ.",,
paymentProvidersMPesaClassicNeedsNothingHere,M-Pesa Classic needs nothing here — the member types in the transaction code from their phone.,M-Pesa Classic haihitaji chochote hapa — mwanachama huandika msimbo wa muamala kutoka simu yake.,M-Pesa Classic ndĩbataire kĩndũ haha — mũmemba nĩwe wandĩkaga kĩmenyithia kĩa muamala kuuma thimũ-inĩ yake.,,
paymentProvidersYouCanSeeThisButNot,You can see this but not change it. Only the group account or a platform admin can move where money is received.,Unaweza kuona hili lakini huwezi kulibadilisha. Ni akaunti ya kikundi au msimamizi wa jukwaa pekee anayeweza kuhamisha mahali fedha zinapopokelewa.,No wone ũndũ ũyũ no ndũngĩhota kũũgarũra. Nĩ akaũnti ya gĩkundi kana mũrori wa kĩoneki tu ũngĩhota kũgarũra harĩa mbeca ciamũkĩragĩrwo.,,
welfareYouAreOfflineWelfarePaymentsAre,You are offline. Welfare payments are recorded on the server so the fund cannot be overspent by two phones at once — reconnect to record one.,Huna mtandao. Malipo ya jamii hurekodiwa kwenye seva ili mfuko usitumike kupita kiasi na simu mbili kwa wakati mmoja — unganisha ili kurekodi.,Ndũrĩ na mũtandao. Marĩhi ma ũteithio mandĩkagwo cheba-inĩ nĩguo mũthithũ ndũkahũthĩrwo makĩria nĩ thimũ igĩrĩ hamwe — ohania nĩguo wandĩke.,,
welfareNoMeetingIsOpenWelfareIs,"No meeting is open. Welfare is paid out during a meeting, in front of the members — open one first, then record it there.","Hakuna mkutano ulio wazi. Fedha za jamii hulipwa wakati wa mkutano, mbele ya wanachama — fungua mkutano kwanza, kisha rekodi hapo.","Gũtirĩ mũcemanio ũhingũre. Mbeca cia ũteithio irĩhagwo hĩndĩ ya mũcemanio, mbere ya amemba — hingũra mũcemanio mbere, ũcooke wandĩke ho.",,
shareOutMembersHavenTBoughtSharesThis,"Members haven\'t bought shares this cycle. Run meetings and collect shares first, then come back to distribute the fund.","Wanachama hawajanunua hisa mzunguko huu. Endesha mikutano na kusanya hisa kwanza, kisha urudi kugawanya mfuko.","Amemba matigũrĩte hisa mũthiũrũrũko-inĩ ũyũ. Rutithia mĩcemanio na ũũnganĩrie hisa mbere, ũcooke ũũke kũgayana mbeca.",,
externalLoanApplyCreditRatingUnavailableTheLenderChecks,Credit rating unavailable — the lender checks it when reviewing your application.,Kiwango cha mkopo hakipatikani — mkopeshaji hukiangalia anapopitia ombi lako.,Gĩthimi kĩa mũkopo gĩtirĩ ho — mũkombithania nĩwe ũgĩroraga akĩrora ihooya rĩaku.,,
externalLoansCheckBackLaterPartnersAddNew,Check back later — partners add new loan offers from time to time.,Rudi baadaye — washirika huongeza mikopo mipya mara kwa mara.,Cooka thutha-inĩ — athiritũ mongereragĩra mĩkopo mĩerũ hĩndĩ na hĩndĩ.,,
externalLoansExternalLoansLoadFromTheIntelli,External loans load from the Intelli-Cash backend. Connect or sign in first.,Mikopo ya nje hupakiwa kutoka seva ya Intelli-Cash. Unganisha au ingia kwanza.,Mĩkopo ya nja ĩrutagwo cheba-inĩ ya Intelli-Cash. Ohania kana ũtoonye mbere.,,
storeFarmSolarHouseholdAndBusinessProducts,"Farm, solar, household and business products — priced by your group\'s credit rating.","Bidhaa za shamba, sola, nyumbani na biashara — bei kulingana na kiwango cha mkopo cha kikundi chako.","Indo cia mũgũnda, riũa, nyũmba na wonjoria — thogora kũringana na gĩthimi kĩa mũkopo kĩa gĩkundi gĩaku.",,
storeIntelliStoresLoadsFromTheIntelli,Intelli-Stores loads from the Intelli-Cash backend. Connect or sign in first.,Intelli-Stores hupakiwa kutoka seva ya Intelli-Cash. Unganisha au ingia kwanza.,Intelli-Stores ĩrutagwo cheba-inĩ ya Intelli-Cash. Ohania kana ũtoonye mbere.,,
businessProfileTheGroupSOwnEnterpriseNot,"The group\'s own enterprise, not a member\'s. Leave blank if they do not run one.","Biashara ya kikundi chenyewe, si ya mwanachama. Acha wazi kama hawana.","Wonjoria wa gĩkundi kĩene, ti wa mũmemba. Tiga hatarĩ kĩndũ mangĩkorũo matarĩ naguo.",,
businessProfileThisVisitHasNotSyncedYet,"This visit has not synced yet, so the figures are saved against the group but not against this visit.","Ziara hii bado haijasawazishwa, kwa hivyo takwimu zimehifadhiwa kwa kikundi lakini si kwa ziara hii.","Rũgendo rũrũ rũtirĩ rwaiganania, nĩ ũndũ ũcio namba ciigĩtwo harĩ gĩkundi no ti harĩ rũgendo rũrũ.",,
businessProfileSavedAgainstThisVisitSoNext,"Saved against this visit, so next time you can see what changed.","Imehifadhiwa kwa ziara hii, ili wakati ujao uone kilichobadilika.","Nĩ ciigĩtwo harĩ rũgendo rũrũ, nĩguo hĩndĩ ĩngĩ wone kĩrĩa kĩagarũrũkire.",,
recordVisitAVisitCanStillBeRecorded,"A visit can still be recorded without a location. Whether it matches this group is decided by the office, not here.","Ziara bado inaweza kurekodiwa bila mahali. Kama inalingana na kikundi hiki huamuliwa na ofisi, si hapa.","Rũgendo no rũngĩandĩkwo o na hatarĩ handũ. Kana nĩrũringaine na gĩkundi gĩkĩ gũtuagwo nĩ ofisi, ti haha.",,
recordVisitRecordWhatYouCoachedOnThen,"Record what you coached on, then let the group score it.","Rekodi ulichofundisha, kisha waache kikundi kikipime.","Andĩka kĩrĩa warutire, ũcooke ũreke gĩkundi gĩgĩthime.",,
visitAssessmentNoAssessmentFormHasBeenDownloaded,"No assessment form has been downloaded yet. Connect once to fetch it, then it works offline.","Hakuna fomu ya tathmini iliyopakuliwa bado. Unganisha mara moja ili kuipata, kisha itafanya kazi bila mtandao.","Gũtirĩ fomu ya gĩthimi ĩrutĩtwo. Ohania riita rĩmwe nĩguo ũmĩrute, ĩcooke ĩrute wĩra hatarĩ mũtandao.",,
visitMentorshipNotScoredYetAVisitCan,"Not scored yet. A visit can be recorded without it, but the group\'s view is the only useful measure of the coaching.","Bado haijapimwa. Ziara inaweza kurekodiwa bila hii, lakini maoni ya kikundi ndiyo kipimo pekee muhimu cha ushauri.","Rũtirĩ rwathimwo. Rũgendo no rũngĩandĩkwo hatarĩ ũguo, no mawoni ma gĩkundi nĩmo gĩthimi kĩrĩa kĩrĩ bata kĩa ũtaari.",,
createPollNoMembersLoadedForThisGroup,No members loaded for this group yet. Connect and open the group first.,Hakuna wanachama waliopakiwa kwa kikundi hiki bado. Unganisha na ufungue kikundi kwanza.,Gũtirĩ amemba marutĩtwo gĩkundi gĩkĩ. Ohania na ũhingũre gĩkundi mbere.,,
createPollNobodySeesWhoVotedForWhat,Nobody sees who voted for what. The counts are still shown to everyone.,Hakuna anayeona nani alipiga kura kwa nini. Idadi bado huonyeshwa kwa kila mtu.,Gũtirĩ mũndũ ũkuona nũũ watuire kũrĩ ũ. Namba nĩcionagio andũ othe.,,
pollDetailNoMoreVotesCanBeCast,"No more votes can be cast after this, and the result is written into the group records. This cannot be undone.","Hakuna kura zaidi zitakazopigwa baada ya hii, na matokeo huandikwa kwenye rekodi za kikundi. Hili haliwezi kutenguliwa.","Gũtirĩ itua rĩngĩ rĩgũtuo thutha wa ũyũ, na macookio mandĩkagwo maandĩko-inĩ ma gĩkundi. Ũndũ ũyũ ndũngĩcookererio.",,
pollDetailClosingCountsTheVotesAndWrites,Closing counts the votes and writes the result into the group records.,Kufunga huhesabu kura na kuandika matokeo kwenye rekodi za kikundi.,Kũhinga gũtaraga itua na gũkandĩka macookio maandĩko-inĩ ma gĩkundi.,,
pollDetailYouHaveVotedThisIsA,"You have voted. This is a secret ballot, so your choice is not shown to anyone.","Umepiga kura. Hii ni kura ya siri, kwa hivyo chaguo lako halionyeshwi kwa mtu yeyote.","Nĩwatua. Rĩrĩ nĩ itua rĩa hitho, nĩ ũndũ ũcio ũthuuri waku ndwĩonagio mũndũ o na ũrĩkũ.",,
pollsElectYourLeadersAndDecideTogether,"Elect your leaders and decide together. One member, one vote.","Chagua viongozi wenu na muamue pamoja. Mwanachama mmoja, kura moja.","Thuurai atongoria anyu na mũtue hamwe. Mũmemba ũmwe, itua rĩmwe.",,
pollsTapNewVoteToElectA,Tap New Vote to elect a leader or put a question to the group.,Gusa Kura Mpya ili kuchagua kiongozi au kuuliza kikundi swali.,Hutia Itua Rĩerũ nĩguo ũthuure mũtongoria kana ũũrie gĩkundi kĩũria.,,
pollsVotingIsKeptOnTheIntelli,Voting is kept on the Intelli-Cash backend so every member sees the same tally. Connect or sign in first.,Kura huhifadhiwa kwenye seva ya Intelli-Cash ili kila mwanachama aone idadi ile ile. Unganisha au ingia kwanza.,Itua ciigagwo cheba-inĩ ya Intelli-Cash nĩguo o mũmemba one namba o ĩyo. Ohania kana ũtoonye mbere.,,
unlockOpensWhen,The meeting opens when {officials} officials — or {members} members — each turn their key.,Mkutano hufunguliwa viongozi {officials} — au wanachama {members} — wanapotumia funguo zao.,Mũcemanio ũhingũragwo rĩrĩa atongoria {officials} — kana amemba {members} — mahũthĩra cabi ciao.,,
paymentProvidersStillNeeded,Not finished — still needed: {fields}. Until then money still goes to the platform account.,Haijakamilika — bado inahitajika: {fields}. Hadi hapo fedha bado huenda kwenye akaunti ya jukwaa.,Gũtirĩ kwarĩkia — no kũbataraga: {fields}. Nginya hĩndĩ ĩyo mbeca ithiaga akaũnti-inĩ ya kĩoneki.,,
welfareSharedOutExplainer,This is what gets shared out at the end of the cycle — not the total contributed. {paidOut} has been paid out so far.,Hiki ndicho kitakachogawanywa mwisho wa mzunguko — si jumla iliyochangwa. {paidOut} imelipwa hadi sasa.,Ĩno nĩyo ĩkũgayanwo mũthia wa mũthiũrũrũko — ti mbeca ciothe iria ciarutirwo. {paidOut} nĩcirĩhĩtwo nginya rĩu.,,
shareOutStartsNextCycle,"This records every payout, settles outstanding loans, and starts Cycle {cycle}. It cannot be undone.","Hii hurekodi kila malipo, humaliza mikopo iliyobaki, na huanzisha Mzunguko {cycle}. Haiwezi kutenguliwa.","Ũndũ ũyũ nĩwandĩkaga o irĩhi, ũkarĩhia mĩkopo ĩrĩa ĩtigarĩte, na ũkambĩrĩria Mũthiũrũrũko {cycle}. Ndũngĩcookererio.",,
visitAssessmentPhotoCapReached,This visit already has {max} photos.,Ziara hii tayari ina picha {max}.,Rũgendo rũrũ nĩrũrĩ na mbica {max}.,,
languageDraftBadge,draft,rasimu,rasimu,,
enterpriseNothingRecordedYet,Nothing recorded yet. Add the first business this group runs together.,Hakuna kilichoandikwa bado. Ongeza biashara ya kwanza ambayo kikundi hiki kinaendesha pamoja.,,,
enterpriseAddAnotherBusiness,Add another business,Ongeza biashara nyingine,,,
enterpriseWhatTheyNeed,What they need,Wanachohitaji,,,
enterpriseAddSomethingTheyNeed,Add something they need,Ongeza kitu wanachohitaji,,,
enterpriseEdit,Edit,Hariri,,,
enterpriseMoneyInEachMonth,Money in each month,Pesa inayoingia kila mwezi,,,
enterpriseCostsEachMonth,Costs each month,Gharama kila mwezi,,,
enterpriseWhatIsLeft,What is left,Kinachobaki,,,
enterpriseHowFarItSells,How far it sells,Inauzwa umbali gani,,,
enterpriseBuyersLastMonth,Buyers last month,Wanunuzi mwezi uliopita,,,
enterpriseWrittenAgreementWithBuyer,Written agreement with a buyer,Mkataba wa maandishi na mnunuzi,,,
enterpriseNotAsked,Not asked,Hawajaulizwa,,,
enterpriseNotRecorded,Not recorded,Haijaandikwa,,,
enterpriseYes,Yes,Ndiyo,,,
enterpriseNoInformal,"No, informal","Hapana, si rasmi",,,
enterpriseYesInWriting,"Yes, in writing","Ndiyo, kwa maandishi",,,
enterpriseUrgent,urgent,haraka,,,
enterpriseNewBusiness,New business,Biashara mpya,,,
enterpriseEditBusiness,Edit business,Hariri biashara,,,
enterpriseWhatIsItCalled,What is it called,Inaitwaje,,,
enterpriseNameHint,Poultry unit,Kitengo cha kuku,,,
enterpriseWhereTheySell,Where they sell,Wanapouza,,,
enterpriseWhereTheySellHint,"How far what they make actually travels, and how many people buy it.","Umbali ambao bidhaa zao zinafika, na watu wangapi wanazinunua.",,,
enterpriseHowFarItReaches,How far it reaches,Inafika umbali gani,,,
enterpriseHowManyBuyersLastMonth,How many buyers last month,Wanunuzi wangapi mwezi uliopita,,,
enterpriseHowTheySell,How they sell,Jinsi wanavyouza,,,
enterpriseIsThereWrittenAgreement,Is there a written agreement with a buyer,"Je, kuna mkataba wa maandishi na mnunuzi",,,
enterpriseMonthsTheySellIn,Months they sell in,Miezi wanayouza,,,
enterpriseLeaveBlankIfAllYear,Leave blank if they sell all year.,Acha wazi kama wanauza mwaka mzima.,,,
enterpriseWhatDoesThisBusinessNeed,What does this business need?,Biashara hii inahitaji nini?,,,
enterpriseHowUrgentIsIt,How urgent is it?,Ni ya haraka kiasi gani?,,,
enterpriseAskGroupToRank,Ask the group how they would rank it.,Uliza kikundi wangeipanga vipi.,,,
enterpriseAdd,Add,Ongeza,,,
enterpriseSave,Save,Hifadhi,,,
enterpriseSaving,Saving…,Inahifadhi…,,,
enterpriseSaved,Saved.,Imehifadhiwa.,,,
enterpriseCouldNotLoad,Could not load. You need a connection for this one.,Haikuweza kupakia. Unahitaji mtandao kwa hii.,,,
enterpriseCouldNotSave,Could not save. Check your connection and try again.,Haikuweza kuhifadhi. Angalia mtandao wako na ujaribu tena.,,,
enterpriseCouldNotSaveNeed,Could not save that need. Check your connection.,Haikuweza kuhifadhi hitaji hilo. Angalia mtandao wako.,,,
enterpriseNameRequired,Give this business a name so it can be told apart.,Ipe biashara hii jina ili itofautishwe.,,,
